year,city,local,year,global
1750,Toronto,6.29,1750,8.72
1751,Toronto,6.84,1751,7.98
1752,Toronto,-1.10,1752,5.78
1753,Toronto,5.76,1753,8.39
1754,Toronto,5.94,1754,8.47
1755,Toronto,2.81,1755,8.36
1756,Toronto,6.37,1756,8.85
1757,Toronto,5.13,1757,9.02
1758,Toronto,4.37,1758,6.74
1759,Toronto,5.27,1759,7.99
1760,Toronto,3.74,1760,7.19
1761,Toronto,6.25,1761,8.77
1762,Toronto,5.79,1762,8.61
1763,Toronto,3.32,1763,7.50
1764,Toronto,5.76,1764,8.40
1765,Toronto,5.14,1765,8.25
1766,Toronto,6.27,1766,8.41
1767,Toronto,4.74,1767,8.22
1768,Toronto,4.81,1768,6.78
1769,Toronto,5.44,1769,7.69
1770,Toronto,5.35,1770,7.69
1771,Toronto,6.23,1771,7.85
1772,Toronto,5.93,1772,8.19
1773,Toronto,6.22,1773,8.22
1774,Toronto,5.64,1774,8.77
1775,Toronto,6.64,1775,9.18
1776,Toronto,5.69,1776,8.30
1777,Toronto,5.23,1777,8.26
1778,Toronto,3.18,1778,8.54
1779,Toronto,6.10,1779,8.98
1780,Toronto,8.70,1780,9.43
1781,Toronto,5.96,1781,8.10
1782,Toronto,5.39,1782,7.90
1783,Toronto,5.11,1783,7.68
1784,Toronto,4.90,1784,7.86
1785,Toronto,4.83,1785,7.36
1786,Toronto,5.35,1786,8.26
1787,Toronto,5.37,1787,8.03
1788,Toronto,6.00,1788,8.45
1789,Toronto,5.70,1789,8.33
1790,Toronto,5.64,1790,7.98
1791,Toronto,5.72,1791,8.23
1792,Toronto,5.15,1792,8.09
1793,Toronto,6.02,1793,8.23
1794,Toronto,6.05,1794,8.53
1795,Toronto,5.60,1795,8.35
1796,Toronto,5.48,1796,8.27
1797,Toronto,5.21,1797,8.51
1798,Toronto,6.03,1798,8.67
1799,Toronto,5.62,1799,8.51
1800,Toronto,5.85,1800,8.48
1801,Toronto,6.23,1801,8.59
1802,Toronto,6.46,1802,8.58
1803,Toronto,6.23,1803,8.50
1804,Toronto,6.02,1804,8.84
1805,Toronto,6.49,1805,8.56
1806,Toronto,5.70,1806,8.43
1807,Toronto,5.49,1807,8.28
1808,Toronto,5.66,1808,7.63
1809,Toronto,4.90,1809,7.08
1810,Toronto,5.24,1810,6.92
1811,Toronto,5.38,1811,6.86
1812,Toronto,3.97,1812,7.05
1813,Toronto,5.31,1813,7.74
1814,Toronto,5.16,1814,7.59
1815,Toronto,4.52,1815,7.24
1816,Toronto,4.00,1816,6.94
1817,Toronto,4.12,1817,6.98
1818,Toronto,4.84,1818,7.83
1819,Toronto,5.07,1819,7.37
1820,Toronto,5.08,1820,7.62
1821,Toronto,4.88,1821,8.09
1822,Toronto,5.64,1822,8.19
1823,Toronto,4.86,1823,7.72
1824,Toronto,5.38,1824,8.55
1825,Toronto,6.46,1825,8.39
1826,Toronto,6.23,1826,8.36
1827,Toronto,6.03,1827,8.81
1828,Toronto,6.82,1828,8.17
1829,Toronto,5.46,1829,7.94
1830,Toronto,6.23,1830,8.52
1831,Toronto,4.96,1831,7.64
1832,Toronto,5.90,1832,7.45
1833,Toronto,5.88,1833,8.01
1834,Toronto,6.16,1834,8.15
1835,Toronto,5.11,1835,7.39
1836,Toronto,4.27,1836,7.70
1837,Toronto,4.89,1837,7.38
1838,Toronto,4.48,1838,7.51
1839,Toronto,5.62,1839,7.63
1840,Toronto,5.88,1840,7.80
1841,Toronto,5.33,1841,7.69
1842,Toronto,5.75,1842,8.02
1843,Toronto,4.81,1843,8.17
1844,Toronto,5.80,1844,7.65
1845,Toronto,5.81,1845,7.85
1846,Toronto,6.47,1846,8.55
1847,Toronto,5.11,1847,8.09
1848,Toronto,5.68,1848,7.98
1849,Toronto,5.18,1849,7.98
1850,Toronto,5.45,1850,7.90
1851,Toronto,5.45,1851,8.18
1852,Toronto,5.27,1852,8.10
1853,Toronto,5.70,1853,8.04
1854,Toronto,5.90,1854,8.21
1855,Toronto,5.16,1855,8.11
1856,Toronto,4.26,1856,8.00
1857,Toronto,4.64,1857,7.76
1858,Toronto,5.93,1858,8.10
1859,Toronto,5.54,1859,8.25
1860,Toronto,5.58,1860,7.96
1861,Toronto,5.45,1861,7.85
1862,Toronto,5.21,1862,7.56
1863,Toronto,5.36,1863,8.11
1864,Toronto,5.47,1864,7.98
1865,Toronto,5.70,1865,8.18
1866,Toronto,4.88,1866,8.29
1867,Toronto,5.11,1867,8.44
1868,Toronto,4.59,1868,8.25
1869,Toronto,4.74,1869,8.43
1870,Toronto,6.22,1870,8.20
1871,Toronto,5.26,1871,8.12
1872,Toronto,4.83,1872,8.19
1873,Toronto,4.64,1873,8.35
1874,Toronto,5.47,1874,8.43
1875,Toronto,3.47,1875,7.86
1876,Toronto,5.41,1876,8.08
1877,Toronto,6.48,1877,8.54
1878,Toronto,7.15,1878,8.83
1879,Toronto,5.36,1879,8.17
1880,Toronto,6.19,1880,8.12
1881,Toronto,6.31,1881,8.27
1882,Toronto,5.97,1882,8.13
1883,Toronto,4.06,1883,7.98
1884,Toronto,5.29,1884,7.77
1885,Toronto,3.83,1885,7.92
1886,Toronto,5.17,1886,7.95
1887,Toronto,5.30,1887,7.91
1888,Toronto,4.39,1888,8.09
1889,Toronto,5.96,1889,8.32
1890,Toronto,5.71,1890,7.97
1891,Toronto,6.28,1891,8.02
1892,Toronto,5.40,1892,8.07
1893,Toronto,4.83,1893,8.06
1894,Toronto,6.64,1894,8.16
1895,Toronto,5.12,1895,8.15
1896,Toronto,5.75,1896,8.21
1897,Toronto,5.89,1897,8.29
1898,Toronto,6.59,1898,8.18
1899,Toronto,5.70,1899,8.40
1900,Toronto,6.47,1900,8.50
1901,Toronto,5.70,1901,8.54
1902,Toronto,5.80,1902,8.30
1903,Toronto,5.79,1903,8.22
1904,Toronto,3.85,1904,8.09
1905,Toronto,5.21,1905,8.23
1906,Toronto,6.19,1906,8.38
1907,Toronto,4.83,1907,7.95
1908,Toronto,6.22,1908,8.19
1909,Toronto,5.83,1909,8.18
1910,Toronto,5.77,1910,8.22
